"","X","brand","model","model_year","milage","fuel_type","engine","transmission","ext_col","int_col","accident","clean_title","price","HighValueCar","engine_power_numeric"
"3076",3076,"Jeep","Gladiator Overland",2020,43000,"Gasoline","285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","White","Beige","None reported","Yes",46500,0,3.6624
"3077",3077,"Toyota","Tacoma TRD Sport",2020,41199,"Gasoline","3.5 Liter","6 Speed Mt","Black","Black/Gun Metal","None reported","No",41598,0,3.5
"3078",3078,"Kia","EV6 GT-Line",2022,22000,"Electric","320.0HP Electric Motor Electric Fuel System","1-Speed A/T","Gray","Black","None reported","Yes",45000,0,320
"3079",3079,"Genesis","GV70 3.5T Sport",2022,12900,"Gasoline","375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","White","None reported","Yes",53000,1,3.6624
"3080",3080,"MINI","Countryman Cooper",2020,74725,"Gasoline","1.5L I3 12V GDI DOHC Turbo","7-Speed Automatic with Auto-Shift","Black","Black","None reported","Yes",21612,0,1.5312
"3081",3081,"Mazda","CX-5 Grand Touring",2021,61117,"Gasoline","2.5L I4 16V GDI DOHC","6-Speed Automatic","Sonic Silver Metallic","Black","None reported","Yes",26485,0,2.5416
"3082",3082,"BMW","325 i",2003,142000,"Gasoline","184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel","5-Speed M/T","Silver","Black","At least 1 accident or damage reported","Yes",4800,0,3.6624
"3083",3083,"Toyota","Yaris L",2012,129355,"Gasoline","106.0HP 1.5L 4 Cylinder Engine Gasoline Fuel","4-Speed A/T","Black","Gray","At least 1 accident or damage reported","Yes",7950,0,3.6624
"3084",3084,"Chevrolet","Express 1500 Base",2010,204000,"E85 Flex Fuel","310.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability","4-Speed A/T","White","Gray","At least 1 accident or damage reported","Yes",4900,0,3.6624
"3085",3085,"Lincoln","Navigator L Select",2016,115600,"Gasoline","380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",22500,0,3.6624
"3086",3086,"Jeep","Wrangler Sahara Altitude",2023,1563,"Hybrid","285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid","A/T","Gray","Black","None reported","Yes",62500,1,3.6624
"3087",3087,"Bentley","Continental GT Base",2007,72166,"Gasoline","552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel","A/T","Black","Black","At least 1 accident or damage reported","Yes",35995,0,3.6624
"3088",3088,"Lexus","RX 350 F Sport",2018,26100,"Gasoline","295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Red","None reported","Yes",37899,0,3.6624
"3089",3089,"BMW","430 i",2017,58880,"Gasoline","248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Brown","None reported","Yes",21000,0,3.6624
"3090",3090,"Cadillac","Escalade Sport Platinum",2021,26000,"Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","10-Speed A/T","Black","Black","None reported","Yes",104000,1,3.6624
"3091",3091,"Honda","Civic EX",2008,190640,"Gasoline","140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel","5-Speed M/T","Silver","Silver","At least 1 accident or damage reported","Yes",5500,0,3.6624
"3092",3092,"Porsche","Cayenne AWD",2020,37500,"Gasoline","335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","None reported","Yes",59900,1,3.6624
"3093",3093,"Ford","Mustang Mach-E GT",2022,13856,"Electric","480.0HP Electric Motor Electric Fuel System","1-Speed A/T","White","Black","None reported","Yes",54000,1,480
"3094",3094,"Cadillac","ATS 2.5L Luxury",2013,225000,"Gasoline","202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Blue","Black","None reported","Yes",13600,0,3.6624
"3095",3095,"Lexus","LS 460 Base",2014,123256,"Gasoline","386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Beige","None reported","Yes",24995,0,3.6624
"3096",3096,"Cadillac","Escalade Premium Luxury",2021,11459,"Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","10-Speed A/T","White","Brown","None reported","Yes",88900,1,3.6624
"3097",3097,"Mercedes-Benz","C-Class C 300 4MATIC Sport",2016,67289,"Gasoline","241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Gray","None reported","Yes",20490,0,3.6624
"3098",3098,"Hyundai","Veloster Base",2013,56837,"Gasoline","132.0HP 1.6L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Silver","Black","At least 1 accident or damage reported","Yes",10500,0,3.6624
"3099",3099,"Chevrolet","Corvette Base",2002,44168,"Gasoline","350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","4-Speed A/T","Orange","Black","None reported","Yes",30000,0,3.6624
"3100",3100,"Mercedes-Benz","C-Class C 300 4MATIC",2019,59766,"Gasoline","2.0L I4 16V GDI DOHC Turbo","9-Speed Automatic","Lunar Blue Metallic","Macchiato","None reported","No",26900,0,2.0416
"3101",3101,"Kia","Stinger GT",2018,56300,"Gasoline","365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel","A/T","Silver","Black","None reported","Yes",29950,0,3.6624
"3102",3102,"Volvo","S60 R",2004,167000,"Gasoline","300.0HP 2.5L 5 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Beige","None reported","Yes",8000,0,3.6624
"3103",3103,"Chevrolet","Silverado 2500 LT",2015,122770,"E85 Flex Fuel","360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability","A/T","Brown","Black","None reported","Yes",27499,0,3.6624
"3104",3104,"Land","Rover Range Rover 3.0L V6 Supercharged HSE",2019,59271,"Gasoline","380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",54995,1,3.6624
"3105",3105,"GMC","Sierra 1500 SLE",2015,102000,"Gasoline","355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Silver","Black","At least 1 accident or damage reported","Yes",24500,0,3.6624
"3106",3106,"Chevrolet","Silverado 1500 RST",2020,40929,"Gasoline","5.3L V8 16V GDI OHV","Automatic","Cajun Red Tintcoat","Jet Black","At least 1 accident or damage reported","Yes",44800,0,5.3816
"3107",3107,"Porsche","911 Turbo S",2019,22000,"Gasoline","580.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Beige","None reported","Yes",174900,1,3.6624
"3108",3108,"Chevrolet","Suburban Z71",2022,19200,"Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","10-Speed A/T","White","Black","None reported","Yes",69790,1,3.6624
"3109",3109,"Mercedes-Benz","G-Class G 550 4MATIC",2019,32376,"Gasoline","416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",128000,1,3.6624
"3110",3110,"Porsche","911 Carrera",2023,19800,"Gasoline","379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Silver","Black","None reported","Yes",134900,1,3.6624
"3111",3111,"Land","Rover Range Rover Sport HSE",2011,105000,"Gasoline","375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",10000,0,3.6624
"3112",3112,"Ford","F-250 Lariat",2016,122650,"Diesel","440.0HP 6.7L 8 Cylinder Engine Diesel Fuel","6-Speed A/T","Gray","Black","None reported","Yes",38900,0,3.6624
"3113",3113,"Subaru","BRZ Limited",2022,14000,"Gasoline","228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","White","Black","None reported","Yes",34999,0,3.6624
"3114",3114,"Lexus","LS 460 Base",2008,100868,"Gasoline","380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Beige","None reported","Yes",15397,0,3.6624
"3115",3115,"Land","Rover Range Rover Sport HSE",2013,111000,"Gasoline","375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",15000,0,3.6624
"3116",3116,"Cadillac","Escalade Sport Platinum",2021,38500,"Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","A/T","White","Black","At least 1 accident or damage reported","Yes",94995,1,3.6624
"3117",3117,"Nissan","Pathfinder S",2020,41250,"Gasoline","284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","CVT Transmission","White","–","None reported","Yes",21865,0,3.6624
"3118",3118,"MINI","Cooper S Base",2006,99600,"Gasoline","168.0HP 1.6L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Orange","Black","None reported","Yes",5500,0,3.6624
"3119",3119,"Acura","ILX 2.0L w/Premium Package",2013,198000,"Gasoline","150.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Black","At least 1 accident or damage reported","Yes",11000,0,3.6624
"3120",3120,"Lexus","RX 350 Base",2021,20598,"Gasoline","3.5L V6 24V PDI DOHC","8-Speed Automatic","Atomic Silver","Gray","At least 1 accident or damage reported","No",42599,0,3.5624
"3121",3121,"Porsche","911 Carrera S",2013,52044,"Gasoline","400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel","7-Speed M/T","White","Gray","None reported","Yes",76500,1,3.6624
"3122",3122,"MINI","Hardtop Cooper S",2022,23777,"Gasoline","189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","Gray","Black","None reported","Yes",30000,0,3.6624
"3123",3123,"Ford","F-150 Platinum",2018,60660,"Gasoline","375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Gold","Black","At least 1 accident or damage reported","Yes",46900,0,3.6624
"3124",3124,"BMW","i3 Base",2015,26000,"Electric","170.0HP 0.65L Electric Motor Electric Fuel System","1-Speed A/T","White","Beige","None reported","Yes",14999,0,3.6624
"3125",3125,"Mazda","CX-5 Touring",2018,61000,"Gasoline","187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","None reported","Yes",21800,0,3.6624
"3126",3126,"Lexus","RX 350 F Sport Performance",2020,53750,"Gasoline","295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Red","None reported","Yes",32600,0,3.6624
"3127",3127,"BMW","X5 M50i",2023,13735,"Gasoline","4.4L V8 32V GDI DOHC Twin Turbo","8-Speed Automatic","Black Sapphire Metallic","Black","None reported","No",77897,1,4.4832
"3128",3128,"Mercedes-Benz","E-Class E 300",2019,32580,"Gasoline","2.0 Liter Turbo","Automatic","Obsidian Black Metallic","Beige","None reported","No",33998,0,2
"3129",3129,"Porsche","911 Carrera Cabriolet",2006,96275,"Gasoline","325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Silver","Black","At least 1 accident or damage reported","Yes",52500,1,3.6624
"3130",3130,"Ford","F-350 Lariat",2015,162000,"Diesel","440.0HP 6.7L 8 Cylinder Engine Diesel Fuel","Transmission w/Dual Shift Mode","Red","Beige","None reported","Yes",32000,0,3.6624
"3131",3131,"BMW","X3 xDrive30i",2019,92040,"Gasoline","2.0L I4 16V GDI DOHC Turbo","8-Speed Automatic","Alpine White","Black","None reported","Yes",24999,0,2.0416
"3132",3132,"RAM","1500 SLT",2017,73690,"Gasoline","395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Blue","Gray","At least 1 accident or damage reported","Yes",27000,0,3.6624
"3133",3133,"Toyota","Tacoma Base",2009,48750,"Gasoline","159.0HP 2.7L 4 Cylinder Engine Gasoline Fuel","M/T","Brown","Silver","None reported","Yes",17900,0,3.6624
"3134",3134,"Cadillac","SRX Performance Collection",2011,124542,"Gasoline","265.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gray","Beige","None reported","Yes",8450,0,3.6624
"3135",3135,"Ford","Mustang GT Premium",2010,69000,"Gasoline","315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","5-Speed A/T","White","Black","None reported","Yes",20000,0,3.6624
"3136",3136,"Dodge","Ram 2500 Laramie Quad Cab",2004,148000,"Diesel","250.0HP 5.9L Straight 6 Cylinder Engine Diesel Fuel","4-Speed A/T","Black","Beige","None reported","Yes",19000,0,3.6624
"3137",3137,"BMW","650 i",2006,122141,"Gasoline","360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Silver","Black","None reported","Yes",10500,0,3.6624
"3138",3138,"Subaru","Impreza WRX",2012,106000,"Gasoline","265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","M/T","Black","Black","None reported","Yes",15000,0,3.6624
"3139",3139,"Ford","Edge Titanium",2017,113294,"Gasoline","245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gray","Black","At least 1 accident or damage reported","Yes",16500,0,3.6624
"3140",3140,"Kia","Telluride SX",2021,24423,"Gasoline","3.8L V6 24V GDI DOHC","8-Speed Automatic","Black","Black","None reported","No",44315,0,3.8624
"3141",3141,"Tesla","Model S Long Range",2022,28000,"Electric","670.0HP Electric Motor Electric Fuel System","1-Speed A/T","Gray","White","None reported","Yes",68750,1,670
"3142",3142,"RAM","1500 Rebel",2018,54800,"Gasoline","395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","A/T","White","Black","At least 1 accident or damage reported","Yes",37050,0,3.6624
"3143",3143,"Ford","Explorer XLT",2017,161000,"Gasoline","290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gray","Black","None reported","Yes",17500,0,3.6624
"3144",3144,"Mercedes-Benz","AMG GLE 43 4MATIC Coupe",2019,28755,"Gasoline","385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","Black","Black","None reported","Yes",61350,1,3.6624
"3145",3145,"Audi","Q5 2.0T Premium Plus",2016,52105,"E85 Flex Fuel","220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability","A/T","White","Beige","At least 1 accident or damage reported","Yes",20499,0,3.6624
"3146",3146,"Nissan","Armada Platinum",2018,119950,"Gasoline","390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",20999,0,3.6624
"3147",3147,"Mercedes-Benz","SL-Class SL500 Roadster",2003,80081,"Gasoline","302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","5-Speed A/T","White","Beige","None reported","Yes",12500,0,3.6624
"3148",3148,"Bentley","Bentayga V8",2021,24500,"Gasoline","542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","White","None reported","Yes",165000,1,3.6624
"3149",3149,"Jeep","Gladiator Overland",2021,4100,"Gasoline","285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",55000,1,3.6624
"3150",3150,"BMW","M2 CS",2020,9670,"Gasoline","444.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Black","None reported","Yes",103500,1,3.6624
"3151",3151,"Dodge","Charger SE",2017,63250,"Gasoline","292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Red","Black","None reported","Yes",18650,0,3.6624
"3152",3152,"Lincoln","MKX Black Label",2017,69431,"Gasoline","335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Silver","Black","None reported","Yes",26500,0,3.6624
"3153",3153,"Toyota","Tundra SR5",2015,108044,"Gasoline","5.7L V8 32V MPFI DOHC","6-Speed Automatic","Black","–","None reported","Yes",31380,0,5.7832
"3154",3154,"BMW","335 i",2008,98000,"Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Brown","None reported","Yes",13998,0,3.6624
"3155",3155,"BMW","X1 xDrive28i",2019,52253,"Gasoline","228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",34500,0,3.6624
"3156",3156,"Ford","F-350 Platinum",2022,23850,"Diesel","475.0HP 6.7L 8 Cylinder Engine Diesel Fuel","10-Speed A/T","Silver","Black","None reported","Yes",99750,1,3.6624
"3157",3157,"Mercedes-Benz","Sprinter High Roof",2015,1500,"Diesel","188.0HP 3.0L V6 Cylinder Engine Diesel Fuel","A/T","White","Gray","None reported","Yes",39500,0,3.6624
"3158",3158,"Dodge","Challenger GT",2021,40000,"Gasoline","303.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",32500,0,3.6624
"3159",3159,"Audi","S4 3.0 Prestige",2012,38718,"Gasoline","333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",31000,0,3.6624
"3160",3160,"Toyota","Tacoma TRD Sport",2018,84184,"Gasoline","3.5 Liter","Automatic","Magnetic Gray Metallic","Graphite w/Gun Metal","None reported","No",35998,0,3.5
"3161",3161,"Mercedes-Benz","Sprinter 2500 Standard Roof",2021,13344,"Diesel","188.0HP 3.0L V6 Cylinder Engine Diesel Fuel","7-Speed A/T","Red","Black","None reported","Yes",56500,1,3.6624
"3162",3162,"INFINITI","Q50 3.0t Red Sport 400",2018,51850,"Gasoline","400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",28900,0,3.6624
"3163",3163,"Porsche","911 Carrera 4S",2002,119500,"Gasoline","320.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","At least 1 accident or damage reported","Yes",36995,0,3.6624
"3164",3164,"Ford","Expedition Max Limited",2021,30918,"Gasoline","375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","10-Speed A/T","White","Beige","None reported","Yes",51999,1,3.6624
"3165",3165,"Chevrolet","Corvette Stingray w/3LT",2023,1100,"Gasoline","490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Beige","None reported","Yes",92000,1,3.6624
"3166",3166,"Mercedes-Benz","C-Class C 300",2019,40000,"Gasoline","255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Blue","Black","None reported","Yes",27900,0,3.6624
"3167",3167,"Jeep","Grand Cherokee Limited",2005,100500,"Gasoline","325.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Gray","None reported","Yes",9998,0,3.6624
"3168",3168,"Dodge","Charger SRT Hellcat",2020,54320,"Gasoline","707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Black","At least 1 accident or damage reported","Yes",67000,1,3.6624
"3169",3169,"Mercedes-Benz","C-Class C 300 4MATIC",2018,49000,"Gasoline","241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",23450,0,3.6624
"3170",3170,"Porsche","911 Carrera S",2020,28000,"Gasoline","443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Black","None reported","Yes",134999,1,3.6624
"3171",3171,"Porsche","911 GT3",2022,1750,"Gasoline","502.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Black","None reported","Yes",275000,1,3.6624
"3172",3172,"Cadillac","DTS Luxury",2007,130000,"Gasoline","275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","A/T","Gold","Beige","At least 1 accident or damage reported","Yes",3499,0,3.6624
"3173",3173,"Maserati","Grecale Modena",2023,3721,"Gasoline","2.0L I4 16V GDI DOHC Turbo","8-Speed Automatic","White","Red","None reported","Yes",69645,1,2.0416
"3174",3174,"Mercedes-Benz","S-Class S 550",2016,78101,"Gasoline","449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",34500,0,3.6624
"3175",3175,"Chevrolet","Malibu 1LT",2017,54000,"Gasoline","160.0HP 1.5L 4 Cylinder Engine Gasoline Fuel","A/T","Gray","Gray","At least 1 accident or damage reported","Yes",16000,0,3.6624
"3176",3176,"Nissan","Quest SL",2011,185000,"Gasoline","260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",7500,0,3.6624
"3177",3177,"Mercedes-Benz","SLK-Class SLK 250",2015,49000,"Gasoline","201.0HP 1.8L 4 Cylinder Engine Gasoline Fuel","7-Speed A/T","Blue","Beige","None reported","Yes",23500,0,3.6624
"3178",3178,"GMC","Sierra 2500 Denali",2024,2043,"Gasoline","401.0HP 6.6L 8 Cylinder Engine Gasoline Fuel","10-Speed A/T","White","Black","None reported","Yes",81500,1,3.6624
"3179",3179,"Lexus","RX 350 Base",2016,71750,"Gasoline","295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Brown","None reported","Yes",28000,0,3.6624
"3180",3180,"Chevrolet","Corvette Stingray w/3LT",2020,5194,"Gasoline","6.2L V8 16V GDI OHV","8-Speed Automatic with Auto-Shift","Arctic White","Tension","None reported","No",87500,1,6.2816
"3181",3181,"BMW","330 i",2019,42200,"Gasoline","255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","None reported","Yes",27500,0,3.6624
"3182",3182,"Mercedes-Benz","GLC 300 Base",2020,42717,"Gasoline","255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Gold","Beige","None reported","Yes",33500,0,3.6624
"3183",3183,"Tesla","Model S 75D",2016,102260,"Electric","518.0HP Electric Motor Electric Fuel System","1-Speed A/T","White","Black","None reported","Yes",31300,0,518
"3184",3184,"Chevrolet","Corvette Stingray w/2LT",2022,11089,"Gasoline","6.2L V8 16V GDI OHV","8-Speed Manual","Silver Flare Metallic","Adrenaline Red","None reported","No",80900,1,6.2816
"3185",3185,"Jaguar","XF 25t Prestige",2018,37777,"Gasoline","247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",32500,0,3.6624
"3186",3186,"Ford","F-150 XLT",2021,35921,"Gasoline","2.7L V6 24V PDI DOHC Twin Turbo","10-Speed Automatic","Antimatter Blue Metallic","Black","None reported","No",42995,0,2.7624
"3187",3187,"Scion","FR-S Monogram",2014,163019,"Gasoline","200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","At least 1 accident or damage reported","Yes",8900,0,3.6624
"3188",3188,"Mercedes-Benz","C-Class C 300 4MATIC",2020,14220,"Gasoline","255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","Blue","Beige","None reported","Yes",35500,0,3.6624
"3189",3189,"Chevrolet","Tahoe Premier",2019,48879,"Gasoline","5.3L V8 16V GDI OHV","Automatic","Silver Ice Metallic","Jet Black","None reported","No",49573,0,5.3816
"3190",3190,"BMW","M3 Base",2002,117200,"Gasoline","333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",15000,0,3.6624
"3191",3191,"Ford","F-150 Lariat",2016,25000,"E85 Flex Fuel","385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability","6-Speed A/T","Gray","Black","None reported","Yes",65000,1,3.6624
"3192",3192,"BMW","i3 Base w/Range Extender",2014,74500,"Electric","170.0HP 0.65L Electric Motor Electric Fuel System","A/T","White","Gray","None reported","Yes",11499,0,3.6624
"3193",3193,"INFINITI","G37 Journey",2013,33300,"Gasoline","328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","None reported","Yes",21990,0,3.6624
"3194",3194,"Ford","Expedition XLT",2007,123921,"Gasoline","300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Beige","None reported","Yes",6900,0,3.6624
"3195",3195,"BMW","X3 sDrive30i",2021,12800,"Gasoline","248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Blue","Blue","None reported","Yes",39990,0,3.6624
"3196",3196,"Aston","Martin Vantage GT Base",2015,21100,"Gasoline","430.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","None reported","Yes",80000,1,3.6624
"3197",3197,"Chevrolet","Tahoe LT",2009,104733,"E85 Flex Fuel","320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability","6-Speed A/T","Black","Black","None reported","Yes",15000,0,3.6624
"3198",3198,"Ford","Transit-250 Base",2020,53000,"Gasoline","310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","White","Black","At least 1 accident or damage reported","Yes",38500,0,3.6624
"3199",3199,"Lexus","ES 250 Base",2021,17570,"Gasoline","2.5 Liter","Automatic","Emin White","Black","None reported","No",39998,0,2.5
"3200",3200,"RAM","1500 Rebel",2020,63875,"Hybrid","395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid","8-Speed A/T","Gray","Black","At least 1 accident or damage reported","Yes",41900,0,3.6624
"3201",3201,"Ford","Maverick XL",2023,12500,"Hybrid","191.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid","A/T","Silver","Black","None reported","Yes",29999,0,3.6624
"3202",3202,"BMW","Z3 3.0i Roadster",2001,103990,"Gasoline","225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","5-Speed M/T","Black","Beige","None reported","Yes",10500,0,3.6624
"3203",3203,"Chevrolet","Camaro 1SS",2022,7000,"Gasoline","455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","Black","None reported","Yes",50000,0,3.6624
"3204",3204,"Chevrolet","Corvette Stingray w/3LT",2023,9000,"Gasoline","490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Blue","Black","None reported","Yes",92000,1,3.6624
"3205",3205,"Pontiac","Solstice GXP",2007,7800,"Gasoline","260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","5-Speed A/T","Silver","Black","None reported","Yes",19000,0,3.6624
"3206",3206,"Cadillac","XTS Luxury",2017,69289,"Gasoline","304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gray","Black","At least 1 accident or damage reported","Yes",20997,0,3.6624
"3207",3207,"Toyota","Highlander Limited",2011,106000,"Gasoline","270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","5-Speed A/T","White","Gray","At least 1 accident or damage reported","Yes",16600,0,3.6624
"3208",3208,"Lincoln","Navigator Reserve",2020,68000,"Gasoline","450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","10-Speed A/T","Black","Gray","At least 1 accident or damage reported","Yes",55999,1,3.6624
"3209",3209,"Toyota","Highlander Hybrid Limited Platinum",2019,13828,"Hybrid","306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid","CVT Transmission","Blue","Black","None reported","Yes",43000,0,3.6624
"3210",3210,"Audi","A3 2.0T Tech Premium",2018,39600,"Gasoline","220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",26999,0,3.6624
"3211",3211,"Jeep","Wrangler SE",2003,92000,"Gasoline","150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","M/T","Gold","Black","None reported","Yes",12500,0,3.6624
"3212",3212,"Toyota","Tacoma SR",2022,5020,"Gasoline","278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Gray","None reported","Yes",36500,0,3.6624
"3213",3213,"Chevrolet","Trailblazer SS",2007,107800,"Gasoline","395.0HP 6.0L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Black","At least 1 accident or damage reported","Yes",15000,0,3.6624
